group_index,solvent_1,solvent_2,compound_id,temperature,J0,J1,J2,solvent_1_pure,solvent_2_pure,rmse,r2,mape,logmape
178,679,3776,3366,308.15,933.741807625969,-739.1683912726028,440.62420307981483,0.0154,0.001,7.723062933743067e-05,0.9997129726765998,1.0295473657342928,0.012646331725139404
179,679,3776,3366,313.15,935.1716833748812,-731.0242006158807,485.90509219696844,0.017,0.0012,0.00010207526064158725,0.999590524463435,0.8271005989925804,-0.08244166465506421
180,679,3776,3366,318.15,951.3064973973998,-745.4291330931675,483.06918812160126,0.019,0.0014,0.00010402893572006819,0.9996543307228992,1.1243395780498007,0.05089749859972398
181,679,3776,3366,323.15,978.4041812526093,-798.1896095379536,471.6841584479485,0.0213,0.0016,0.00013838741418881998,0.999501565835016,1.3953704907052278,0.14468953428065046
188,679,6569,536770,293.15,1249.3068993174904,-539.0686431485094,246.1633380109349,0.3297,0.0103,0.0012941396773889211,0.9998662285287873,1.2096496558789167,0.08265960622556419
189,679,6569,536770,298.15,1235.9220953886252,-531.1082406395172,273.61698771004603,0.3362,0.0115,0.0022588998567280305,0.9996093471099916,1.9491894314552771,0.289854047962131
190,679,6569,536770,303.15,1227.851598832969,-513.0670154965546,245.26901981164008,0.3432,0.0126,0.0021975623158460673,0.9996416713072998,1.705410139197229,0.23182884067162624
191,679,6569,536770,308.15,1233.4162336127226,-521.4663000058481,240.03138213367828,0.3496,0.0135,0.002081417721758087,0.9996867486230415,1.650757688053264,0.2176833285840509
192,679,6569,536770,313.15,1229.8382867347798,-514.1944565873474,224.33311196427908,0.3574,0.0147,0.0022214377567370117,0.9996552217637243,1.6659119359588752,0.2216520398450926
193,679,6569,536770,318.15,1219.37872863838,-502.6316161297925,203.07970173829975,0.3656,0.0161,0.0021433595577262424,0.9996895538042597,1.6478237750295963,0.21691076462779754
194,679,6569,536770,323.15,1227.1330211451962,-513.2150627211977,226.09852293819665,0.3729,0.0172,0.00213323805551232,0.9997032314192483,1.5433707238526817,0.18847025787465724
195,679,6569,536770,328.15,1229.001016184843,-519.179745507728,223.87744826129926,0.3819,0.0185,0.002335583581199671,0.9996575807716102,1.5497698217263935,0.1902671997333015
196,679,6569,536770,333.15,1239.416540245887,-528.462632385088,241.32610970821568,0.3902,0.0197,0.002345185831848508,0.9996678997638594,1.5348097019713844,0.1860545358346697
197,679,7909,536770,293.15,1646.5383265952398,-882.3806870965982,449.13687693503164,0.326,0.0041,0.0006302389503245951,0.99996893330535,0.6162796392066869,-0.21022218035670587
198,679,7909,536770,298.15,1611.5133336770705,-863.2203916973398,468.40984880340733,0.3362,0.0048,0.001448762262010541,0.9998459369943391,1.4515032683052813,0.16181801805632556
199,679,7909,536770,303.15,1604.4869230084346,-863.7267625239031,473.00435907658954,0.3432,0.0053,0.0016170784029503834,0.9998145929638484,1.5352011305550421,0.18616528155130485
200,679,7909,536770,308.15,1591.690644534404,-856.6400568942271,470.9345612801761,0.3496,0.0059,0.001767433128858611,0.9997850778045521,1.567736676490207,0.19527311858381202
201,679,7909,536770,313.15,1604.3432146806194,-876.06720760743,483.965929798996,0.3574,0.0063,0.001789565982035982,0.9997878184270086,1.4550589681746942,0.1628805940325379
202,679,7909,536770,318.15,1601.9030407568434,-866.1670505721575,460.0957867979907,0.3656,0.0069,0.0015578328230491565,0.9998450958427997,1.3063064358127567,0.11604506650401866
203,679,7909,536770,323.15,1593.9316794535105,-856.6035249025335,469.94542501275185,0.3729,0.0076,0.0017543346834787972,0.9998108509000846,1.348770083943572,0.12993792462770665
204,679,7909,536770,328.15,1599.1998248685597,-861.1560918373364,457.5450409621386,0.3819,0.0082,0.0015921870739043545,0.9998501203787055,1.1897437953067118,0.07545344856549273
205,679,7909,536770,333.15,1603.2885491639233,-866.3184899786932,469.1034353873327,0.3902,0.0089,0.00173014240351416,0.9998298952540868,1.213364100252484,0.08399114134736381
206,679,8452,536770,293.15,1286.7874849473624,-789.7136602385089,461.3904343535771,0.3265,0.0126,0.0003032897514944604,0.9999920345117717,0.174711794028759,-0.7576777767072758
207,679,8452,536770,298.15,1295.8579935985974,-804.1527157885129,472.7409209882165,0.3362,0.0135,0.001332514406576806,0.9998543735849742,0.7209153624585549,-0.14211571971171122
208,679,8452,536770,303.15,1289.745174979395,-807.9188392983768,478.635015567873,0.3432,0.0146,0.0011145540866694598,0.9999009294299873,0.6117310718859763,-0.21343945965929373
209,679,8452,536770,308.15,1287.5803956271964,-811.8497496754873,481.1698666761957,0.3496,0.0157,0.0011302480241684443,0.9999006881621826,0.5354737424792222,-0.27126182039882757
210,679,8452,536770,313.15,1294.1821169690227,-826.7563463594222,500.1182309220964,0.3574,0.0167,0.001174561077168133,0.9998964748794216,0.5228464869914682,-0.2816258056623987
211,679,8452,536770,318.15,1285.4398709212758,-821.4681980960788,487.15654202699653,0.3656,0.0181,0.0012120550245785845,0.9998932106653878,0.5045322836306483,-0.29711103923070414
212,679,8452,536770,323.15,1285.9229065018546,-821.1034403959982,501.881942920715,0.3729,0.0195,0.0010442254702949592,0.9999234714147585,0.42822696672024524,-0.3683259873707819
213,679,8452,536770,328.15,1283.8310996819773,-829.8185584199343,509.720376363158,0.3819,0.0209,0.0010154263055893666,0.9999301333809676,0.3222800894295517,-0.4917665245155295
214,679,8452,536770,333.15,1283.8388693695904,-831.0780369430686,511.04096396123816,0.3902,0.0225,0.0011309262261616655,0.9999162289824707,0.3485926333465976,-0.4576817948815826
225,702,679,7579,293.15,1117.0900972531936,119.61892322998148,22.44919217389438,0.003,0.3813,0.0003925831112343478,0.9999907045859209,0.6250139014620645,-0.20411032303812665
226,702,679,7579,298.15,1056.5079556782844,-41.4433496759948,-120.10421924842,0.0039,0.3926,0.0009000420731708324,0.9999543482469918,2.1926099272182595,0.3409613760802816
227,702,679,7579,303.15,1008.292522266767,29.630560462868914,-44.462222904381385,0.0052,0.4067,0.0005730837092123122,0.9999824746515229,1.454352191805161,0.16266958976645948
228,702,679,7579,308.15,989.2944996983277,-17.138944948669586,-83.5149594119675,0.0061,0.4215,0.0008509481810405653,0.9999641473462212,1.2491982700426958,0.09663137412409809
229,702,679,7579,313.15,937.9250593836472,-87.75744808525911,-241.8992611614082,0.0078,0.4377,0.0008786058312496081,0.999963846544437,1.4606098329646033,0.16453422002711657
230,702,679,7579,318.15,948.956508745443,11.598251123428033,-165.22516143936429,0.0091,0.4628,0.001534347756692121,0.9998996621424588,1.7436182938631626,0.24145141694242622
231,702,679,7579,323.15,905.1515787707564,-27.420007626669033,-121.50763924707755,0.0113,0.4733,0.0007324561251787805,0.9999783733385676,0.8010335054929532,-0.09634931794026279
232,702,679,7579,328.15,873.8406533109231,-82.38414179218401,-156.55063849632197,0.0143,0.492,0.0007146614728533668,0.9999810478317382,0.5960846336111166,-0.2246920736476508
233,702,679,7579,333.15,881.9940753863318,-20.722773245699038,-110.95302066659517,0.0174,0.5161,0.0009996944212757074,0.9999659204087742,0.6677992444089051,-0.1753540766701307
234,702,702,7579,293.15,364.4247102116906,278.14317577648876,374.6722774632886,0.003,0.09,0.00035989684297192573,0.9998305820104937,1.8624993174738123,0.2700961222700424
235,702,702,7579,298.15,318.70472158112005,34.900581121333836,-6.7893169075796145,0.0039,0.0961,0.0003844551744435134,0.9998284940529842,2.0846028790350863,0.3190233332328644
236,702,702,7579,303.15,363.8286768920081,231.5232561928496,77.75223599459372,0.0052,0.1078,0.0003379081834210014,0.9998892728385251,1.367158658426995,0.13581891726059678
237,702,702,7579,308.15,315.4082120774445,150.99246594235703,99.8634191961723,0.0061,0.1156,0.00031606815543789305,0.9999160955967138,0.8525551373807669,-0.06927752425819719
238,702,702,7579,313.15,273.1959464385294,55.39707061582846,33.900667582856926,0.0078,0.1221,0.000599905606562583,0.999728368020033,1.479296113503368,0.17005511624744826
239,702,702,7579,318.15,300.3684060576509,91.09781090094772,93.02646596519834,0.0091,0.1373,0.00038318422182008515,0.9999121641354626,0.8207293331726824,-0.085800044452497
240,702,702,7579,323.15,275.4889354234141,100.50671944421553,39.433374178655654,0.0113,0.153,0.00023641338135972715,0.9999721801551366,0.4672652064690212,-0.33043655623457974
241,702,702,7579,328.15,146.63540851992596,-17.44362809417146,86.24137956566935,0.0143,0.1626,0.0008887544981419567,0.999649689609783,1.6888298836247455,0.2275859051518625
242,702,702,7579,333.15,169.08308122263216,-49.498161507623,-28.17528614320201,0.0174,0.1786,0.0004335428924884416,0.9999296926620839,0.7584850687573707,-0.12005296414568536
243,702,702,214348,298.15,103.49883971671389,-35.990270664469584,47.799798829028155,0.1156,0.0965,0.0002648427616499424,0.9983534303830867,0.19193006737267698,-0.7168569842475491
244,702,713,7579,293.15,993.4765390253847,309.05794603740554,159.77637463221518,0.003,0.5006,0.0005926495129062419,0.9999865679347295,1.6179897104389047,0.20897575540121385
245,702,713,7579,298.15,917.2487641635563,193.70877022353542,43.98301059399668,0.0039,0.5197,0.0003178068240970961,0.9999964103677151,0.6913741708472373,-0.16028684936412377
246,702,713,7579,303.15,848.2284339227605,160.4215500581155,45.55234815454589,0.0052,0.5353,0.0009569180446800467,0.9999691767074483,1.9001434743133025,0.2787863945055003
247,702,713,7579,308.15,847.6388068971656,66.40023186932882,-124.68289784040383,0.0061,0.5588,0.0014392897350546468,0.9999359911425976,0.9585907217073185,-0.01836677890235111
248,702,713,7579,313.15,792.6810047099536,34.94581244824704,-48.72548814340769,0.0078,0.5868,0.0010995159562984195,0.9999665106057145,1.4152579736915156,0.1508356104179424
249,702,713,7579,318.15,815.9334268386317,99.32891687463619,-49.23038379830237,0.0091,0.6184,0.0004491439701599558,0.9999949043208047,0.5230291549822675,-0.2814741017732414
250,702,713,7579,323.15,792.258638792433,113.78411469160712,-24.30424432941314,0.0113,0.6473,0.00037014936617912474,0.999996823911335,0.31533005596651037,-0.5012346321119175
251,702,713,7579,328.15,757.5555480991227,85.66895443837485,-41.651915245904995,0.0143,0.678,0.000665541974505283,0.9999906005154203,0.7018090331164067,-0.15378104619846575
252,702,713,7579,333.15,734.5365710120353,82.30780330851162,-38.1794011178614,0.0174,0.7144,0.0005265176918734949,0.9999946711888162,0.41417359004927773,-0.3828175975274122
253,702,962,338,278.15,2149.9342112316776,-297.5320139093586,-463.2850356209033,0.0946,0.0002,0.0011582518083881417,0.9989157880381861,6.556461148573479,0.8166694920670842
254,702,962,338,283.15,2078.134928347115,-231.33113254878475,-431.2677800931102,0.1033,0.0003,0.001037614129841466,0.999286458884726,6.250855235713034,0.7959394411426031
255,702,962,338,288.15,2088.9409085613975,-221.0749573876634,-361.33223817737655,0.1138,0.0004,0.0009819965153276872,0.999492593547833,5.989161288454932,0.777366008816849
256,702,962,338,293.15,2122.7704841351924,-267.7696421064611,-233.76652680268074,0.1279,0.0005,0.0009843822565354363,0.9996072746598822,5.399955811967294,0.7323902059901372
257,702,962,338,298.15,2085.858181172786,-340.3285212091004,-15.68571542029466,0.1436,0.0007,0.0007412459814211978,0.9998273963766832,3.1056007335399336,0.49214562062424244
258,702,962,338,303.15,2148.1244257510402,-422.61442065356766,33.08330729224525,0.1612,0.0008,0.0006370812463419757,0.999898748708144,2.806189424823152,0.4481169836484288
259,702,962,338,308.15,2168.3346902359185,-455.4491033992692,27.44488366446203,0.1787,0.001,0.0005878507221664696,0.9999298812690001,2.2044850784436654,0.3433071635517679
260,702,962,338,313.15,2147.3168752550687,-441.9226680146892,31.425216039975744,0.1981,0.0013,0.0008649773092219091,0.9998771751301937,1.3998161667356934,0.14607100495361983
261,702,962,338,318.15,2204.7891912257064,-487.5476789779513,31.913915596552965,0.2182,0.0015,0.0015160737401917533,0.9996909842560058,1.8702360837573533,0.2718964318849132
262,702,962,338,323.15,2195.5717290249636,-486.65414694540254,18.47219997527803,0.2419,0.0019,0.002655303223716747,0.9992289640426437,1.9610620744425555,0.29249134081780853
263,702,962,2378,278.15,2441.3066716020094,-2021.8324897122523,1190.148515753671,0.0154,0.0001,2.459385957553841e-05,0.9999805626588477,0.36824636389685,-0.4338615327333422
264,702,962,2378,283.15,2241.8339673941678,-1786.510699326361,1089.3772056175785,0.0205,0.0002,0.00028414111820713827,0.9985572648382749,3.0512707688367833,0.4844807485122629
265,702,962,2378,288.15,2431.203100746683,-2019.13276742016,1324.2428033335746,0.0266,0.0002,0.00043211370394091795,0.9980378925467476,1.6781344590552125,0.22482675535218152
266,702,962,2378,293.15,2364.328234918334,-1911.190105923718,1252.1216288648607,0.0348,0.0003,0.0005142404132036682,0.9983610879335783,1.6941675177627462,0.22895635076625523
267,702,962,2378,298.15,2320.3931633374928,-1888.7974517722623,1237.6172332311644,0.0445,0.0004,0.0007373368571669086,0.9978767338141674,3.3226487244259264,0.5214844294197141
268,702,962,2378,303.15,2381.3530583802817,-1941.9696993152086,1232.2655620401645,0.0569,0.0005,0.0005186219965397472,0.9993474058670574,1.297973192866816,0.11326572304197742
269,702,962,2378,308.15,2359.791486683916,-1900.0929763200877,1142.6886152485586,0.0717,0.0007,0.00041833663989110473,0.99972836903624,1.2226917627535931,0.08731698638427687
270,702,962,2378,313.15,2415.1874885302013,-1967.7401179387823,1175.1035010176179,0.091,0.0008,0.0003541628704192017,0.9998763044471741,0.5831959651948463,-0.23418548931915478
271,702,962,2378,318.15,2357.5154855685378,-1890.6682322892736,1090.0890882846418,0.1116,0.0011,8.847784504229607e-05,0.9999947876266961,0.3519869665598453,-0.45347341736259167
272,702,962,2955,288.15,1593.6013312944788,-594.7836662915315,376.1796681448805,0.021,0.0001,9.076356781316935e-05,0.9998449663812716,2.848414111854234,0.4546031287215646
273,702,962,2955,293.15,1811.4084923307364,-902.3011417766785,545.2616197899141,0.0241,0.0001,0.00013608492570892346,0.999732364947301,3.981375794128466,0.6000331717096367
274,702,962,2955,298.15,2040.8237276786995,-1220.0670488685475,788.982322795228,0.0272,0.0001,0.00019461304079875609,0.9995716737468763,6.0416669376032655,0.7811567799991648
275,702,962,2955,303.15,1831.59447844313,-1083.4382040814692,714.5304652211079,0.0307,0.0002,0.00022481265157174834,0.999543390328384,4.9888962718958085,0.698004474271596
276,702,962,2955,308.15,1797.0635478107247,-1127.333194042674,767.2919272465025,0.0344,0.0003,0.00023131258530872917,0.999611733399135,4.104928350251972,0.6133055810993658
277,702,962,2955,313.15,1673.2350788630959,-1060.0122862657547,757.1075942016207,0.0385,0.0005,0.00028193277684669096,0.9995324865804899,3.6434371258044655,0.5615112793769967
278,702,962,2955,318.15,1652.2589258277744,-1130.9473507652854,747.7731176724164,0.0438,0.0007,0.00039924186502705383,0.9992421539387024,3.9567691359300743,0.5973407113940074
279,702,962,2955,323.15,1609.6499763885938,-1182.775714744273,804.5241893724206,0.049,0.001,0.0005608991991849004,0.998761003195847,4.085975856744779,0.6112957961404093
280,702,962,3335,278.15,712.1287743976184,-218.38326422698603,7.184841715806998,0.003,0.0002,4.293512424351076e-05,0.9979536292463258,4.144839541721523,0.6175077224631866
281,702,962,3335,283.15,941.8311406725784,-538.3045993818025,414.4051362401689,0.0037,0.0002,3.2549682136103844e-05,0.9992290275519213,1.7885375106104768,0.25249805294476557
282,702,962,3335,288.15,896.8045221527864,-429.95034415831367,317.3206230991273,0.005,0.0003,3.559255018576422e-05,0.9995011832571563,2.098716426157021,0.3219537616528976
283,702,962,3335,293.15,917.1148175099837,-455.245748912979,301.4829443163185,0.0065,0.0004,3.32284032730999e-05,0.9997389720197069,1.1806769542687006,0.0721310862924938
284,702,962,3335,298.15,939.463607207995,-529.6447069139044,467.0003892584306,0.0084,0.0005,7.001622220892798e-05,0.9993111909098639,1.9376593226590983,0.28727742220128466
285,702,962,3335,303.15,938.3530911411232,-497.6146317865064,289.27256548740604,0.0108,0.0007,7.637918361544627e-05,0.9994842417710565,1.8077194568166453,0.2571310324390499
286,702,962,3335,308.15,892.1902163868496,-434.5178598852226,314.9659502978752,0.0137,0.001,6.335291012025932e-05,0.9997818994306797,0.9443503410790582,-0.02486685848697325
287,702,962,3335,313.15,904.4202804323717,-451.42068481070413,262.12840168629623,0.0172,0.0013,7.888406486630119e-05,0.9997808501820646,0.9759040715962493,-0.01059287006273764
288,702,962,3335,318.15,949.8267043687832,-478.14025943726244,269.0037001871422,0.0212,0.0016,0.0001433808257170602,0.9995245591770743,1.6298203202298638,0.21213972818680893
313,702,962,10308,308.15,2627.699583591908,-3206.176426761264,3203.304180196875,0.012,0.0001,0.00010429919449062982,0.9993896914052974,2.677992973227734,0.42780943313438285
314,702,962,10308,313.15,2824.087027562695,-3463.1770864063315,3419.1797993285954,0.0152,0.0001,9.449330497274753e-05,0.9996866441366977,1.5360005879792427,0.18639138194294871
315,702,962,10308,318.15,3028.1600294801797,-3725.177558892178,3627.3045426183985,0.0192,0.0001,0.000179592892063727,0.9992848948360133,1.4896921780768206,0.17309653742321093
316,702,962,10308,323.15,2780.6894513063444,-3394.0151541689706,3355.9444827941606,0.0237,0.0002,0.00016116020307586603,0.9996212581874845,1.3118695036224433,0.11789063635415063
317,702,962,10308,328.15,2977.3411120355054,-3654.3542970126155,3574.452639833037,0.0293,0.0002,0.0002473619373438115,0.9994164117284859,1.0729082715419782,0.0305625934794217
318,702,962,11741,283.15,1447.2759179550117,-880.1488857562956,304.274250931502,0.0172,0.0002,0.00010808086548502944,0.9996259722648827,3.2595682516828934,0.5131600791080454
319,702,962,11741,288.15,1442.7015753026706,-802.7263296263437,523.899167327011,0.0189,0.0003,8.889730484278895e-05,0.9998090716192644,2.2589404893122778,0.35390478979432133
