"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in pure solvent,19.64,"water, methanol",water (69.46 molpercent); methanol (30.54 molpercent),,Solubility: 0.01876 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,"water, methanol",water (69.46 molpercent); methanol (30.54 molpercent),,Solubility: 0.02244 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,"water, methanol",water (69.46 molpercent); methanol (30.54 molpercent),,Solubility: 0.02378 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,"water, methanol",water (69.46 molpercent); methanol (30.54 molpercent),,Solubility: 0.02585 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,"water, methanol",water (69.46 molpercent); methanol (30.54 molpercent),,Solubility: 0.03223 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,"water, methanol",water (69.46 molpercent); methanol (30.54 molpercent),,Solubility: 0.03304 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,"water, methanol",water (69.46 molpercent); methanol (30.54 molpercent),,Solubility: 0.03561 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,"water, methanol",water (69.46 molpercent); methanol (30.54 molpercent),,Solubility: 0.03719 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,"water, methanol",water (69.46 molpercent); methanol (30.54 molpercent),,Solubility: 0.04463 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,"water, methanol",water (69.46 molpercent); methanol (30.54 molpercent),,Solubility: 0.04613 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,19.64,"water, methanol",water (59.61 molpercent); methanol (40.39 molpercent),,Solubility: 0.02821 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,"water, methanol",water (59.61 molpercent); methanol (40.39 molpercent),,Solubility: 0.03479 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,"water, methanol",water (59.61 molpercent); methanol (40.39 molpercent),,Solubility: 0.03756 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,"water, methanol",water (59.61 molpercent); methanol (40.39 molpercent),,Solubility: 0.04061 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,"water, methanol",water (59.61 molpercent); methanol (40.39 molpercent),,Solubility: 0.04837 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,"water, methanol",water (59.61 molpercent); methanol (40.39 molpercent),,Solubility: 0.04874 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,"water, methanol",water (59.61 molpercent); methanol (40.39 molpercent),,Solubility: 0.04903 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,"water, methanol",water (59.61 molpercent); methanol (40.39 molpercent),,Solubility: 0.05336 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,"water, methanol",water (59.61 molpercent); methanol (40.39 molpercent),,Solubility: 0.06212 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,"water, methanol",water (59.61 molpercent); methanol (40.39 molpercent),,Solubility: 0.06438 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,19.64,"water, methanol",water (49.76 molpercent); methanol (50.24 molpercent),,Solubility: 0.03353 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,"water, methanol",water (49.76 molpercent); methanol (51.24 molpercent),,Solubility: 0.03968 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,"water, methanol",water (49.76 molpercent); methanol (52.24 molpercent),,Solubility: 0.04442 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,"water, methanol",water (49.76 molpercent); methanol (53.24 molpercent),,Solubility: 0.04731 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,"water, methanol",water (49.76 molpercent); methanol (54.24 molpercent),,Solubility: 0.05595 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,"water, methanol",water (49.76 molpercent); methanol (55.24 molpercent),,Solubility: 0.05643 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,"water, methanol",water (49.76 molpercent); methanol (56.24 molpercent),,Solubility: 0.05782 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,"water, methanol",water (49.76 molpercent); methanol (57.24 molpercent),,Solubility: 0.06151 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,"water, methanol",water (49.76 molpercent); methanol (58.24 molpercent),,Solubility: 0.07052 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,"water, methanol",water (49.76 molpercent); methanol (59.24 molpercent),,Solubility: 0.07193 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,19.64,"water, methanol",water (39.9 molpercent); methanol (60.1 molpercent),,Solubility: 0.04324 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,"water, methanol",water (39.9 molpercent); methanol (60.1 molpercent),,Solubility: 0.04939 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,"water, methanol",water (39.9 molpercent); methanol (60.1 molpercent),,Solubility: 0.0534 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,"water, methanol",water (39.9 molpercent); methanol (60.1 molpercent),,Solubility: 0.05783 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,"water, methanol",water (39.9 molpercent); methanol (60.1 molpercent),,Solubility: 0.06758 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,"water, methanol",water (39.9 molpercent); methanol (60.1 molpercent),,Solubility: 0.07365 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,"water, methanol",water (39.9 molpercent); methanol (60.1 molpercent),,Solubility: 0.07925 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,"water, methanol",water (39.9 molpercent); methanol (60.1 molpercent),,Solubility: 0.08048 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,"water, methanol",water (39.9 molpercent); methanol (60.1 molpercent),,Solubility: 0.08505 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,"water, methanol",water (39.9 molpercent); methanol (60.1 molpercent),,Solubility: 0.08715 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,19.64,"water, methanol",water (29.78 molpercent); methanol (70.22 molpercent),,Solubility: 0.05218 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,"water, methanol",water (29.78 molpercent); methanol (70.22 molpercent),,Solubility: 0.06028 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,"water, methanol",water (29.78 molpercent); methanol (70.22 molpercent),,Solubility: 0.06483 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,"water, methanol",water (29.78 molpercent); methanol (70.22 molpercent),,Solubility: 0.06871 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,"water, methanol",water (29.78 molpercent); methanol (70.22 molpercent),,Solubility: 0.08077 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,"water, methanol",water (29.78 molpercent); methanol (70.22 molpercent),,Solubility: 0.0853 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,"water, methanol",water (29.78 molpercent); methanol (70.22 molpercent),,Solubility: 0.09051 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,"water, methanol",water (29.78 molpercent); methanol (70.22 molpercent),,Solubility: 0.09316 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,"water, methanol",water (29.78 molpercent); methanol (70.22 molpercent),,Solubility: 0.10271 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,"water, methanol",water (29.78 molpercent); methanol (70.22 molpercent),,Solubility: 0.10834 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,19.64,"water, methanol",water (19.2 molpercent); methanol (80.8 molpercent),,Solubility: 0.06225 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,"water, methanol",water (19.2 molpercent); methanol (80.8 molpercent),,Solubility: 0.07122 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,"water, methanol",water (19.2 molpercent); methanol (80.8 molpercent),,Solubility: 0.07627 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,"water, methanol",water (19.2 molpercent); methanol (80.8 molpercent),,Solubility: 0.08072 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,"water, methanol",water (19.2 molpercent); methanol (80.8 molpercent),,Solubility: 0.08992 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,"water, methanol",water (19.2 molpercent); methanol (80.8 molpercent),,Solubility: 0.10072 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,"water, methanol",water (19.2 molpercent); methanol (80.8 molpercent),,Solubility: 0.11145 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,"water, methanol",water (19.2 molpercent); methanol (80.8 molpercent),,Solubility: 0.11474 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,"water, methanol",water (19.2 molpercent); methanol (80.8 molpercent),,Solubility: 0.12085 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,"water, methanol",water (19.2 molpercent); methanol (80.8 molpercent),,Solubility: 0.12906 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,19.64,"water, methanol",water (6.7 molpercent); methanol (93.3 molpercent),,Solubility: 0.07576 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,"water, methanol",water (6.7 molpercent); methanol (93.3 molpercent),,Solubility: 0.08262 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,"water, methanol",water (6.7 molpercent); methanol (93.3 molpercent),,Solubility: 0.08815 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,"water, methanol",water (6.7 molpercent); methanol (93.3 molpercent),,Solubility: 0.09338 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,"water, methanol",water (7.7 molpercent); methanol (93.3 molpercent),,Solubility: 0.10271 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,"water, methanol",water (8.7 molpercent); methanol (93.3 molpercent),,Solubility: 0.11351 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,"water, methanol",water (9.7 molpercent); methanol (93.3 molpercent),,Solubility: 0.12793 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,"water, methanol",water (10.7 molpercent); methanol (93.3 molpercent),,Solubility: 0.13284 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,"water, methanol",water (11.7 molpercent); methanol (93.3 molpercent),,Solubility: 0.1422 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,"water, methanol",water (12.7 molpercent); methanol (93.3 molpercent),,Solubility: 0.1503 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,19.64,methanol,,,Solubility: 0.0845 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,methanol,,,Solubility: 0.0919 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,methanol,,,Solubility: 0.0957 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,methanol,,,Solubility: 0.10362 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,methanol,,,Solubility: 0.1128 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,methanol,,,Solubility: 0.12687 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,methanol,,,Solubility: 0.13258 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,methanol,,,Solubility: 0.14207 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,methanol,,,Solubility: 0.15893 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,methanol,,,Solubility: 0.16284 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,19.64,"water, ethanol",water (89.69 molpercent); ethanol (10.31 molpercent),,Solubility: 0.01447 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
