"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in solution,30.5,toluene,,,Solubility: 22.8 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,32.31,toluene,,,Solubility: 26.2 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,34.39,toluene,,,Solubility: 30.2 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,36.7,toluene,,,Solubility: 34.4 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,38.59,toluene,,,Solubility: 38.3 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,40.7,toluene,,,Solubility: 43.8 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,42.59,toluene,,,Solubility: 49 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,44.22,toluene,,,Solubility: 54.3 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,15.92,acetone,,,Solubility: 25.3 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,18.16,acetone,,,Solubility: 27.2 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,20.39,acetone,,,Solubility: 30.9 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,22.38,acetone,,,Solubility: 33 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,24.38,acetone,,,Solubility: 35.1 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,26.17,acetone,,,Solubility: 37.3 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,28.47,acetone,,,Solubility: 41.2 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,30.7,acetone,,,Solubility: 43.6 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,32.49,acetone,,,Solubility: 47.8 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,34.71,acetone,,,Solubility: 51.2 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,36.49,acetone,,,Solubility: 55.4 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,38.61,acetone,,,Solubility: 59.6 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,15.3,tetrachloromethane,,,Solubility: 9.12 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,17.29,tetrachloromethane,,,Solubility: 10.1 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,19.35,tetrachloromethane,,,Solubility: 12.4 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,21.26,tetrachloromethane,,,Solubility: 15 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,23.39,tetrachloromethane,,,Solubility: 18 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,25.2,tetrachloromethane,,,Solubility: 21 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,27.08,tetrachloromethane,,,Solubility: 24.2 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,29.04,tetrachloromethane,,,Solubility: 27.8 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
